id, Latitude, Longitude, Listed, 
185, -6.3921051, 53.3939705, 2, 
186, -6.26346493, 53.2754707, 2, 
188, -6.37906, 53.3925476, 2, 
190, -6.12592411, 53.578434, 2, 
202, -6.24689388, 53.3897438, 2, 
205, -6.38638, 53.273037, 2, 
208, -6.37383318, 53.2893829, 2, 
212, -6.49108505, 53.372242, 2, 
213, -6.33365202, 53.3068199, 2, 
215, 0, 0, 2, 
216, -6.12827778, 53.2393837, 2, 
219, -6.12389, 53.4342537, 2, 
220, -6.2785368, 53.4177, 2, 
224, -6.13013887, 53.1823349, 2, 
225, -6.27373314, 53.3681335, 2, 
226, -6.2876358, 53.3471, 2, 
227, -6.24229193, 53.2860794, 2, 
228, -6.25466681, 53.3492508, 2, 
229, -6.25946808, 53.3484497, 2, 
230, -6.30361, 53.4029694, 2, 
231, -6.2727, 53.3613396, 2, 
237, -6.24635315, 53.2923, 2, 
238, -6.26335, 53.3441887, 2, 
239, -6.2745, 53.3535156, 2, 
240, -6.25508404, 53.3472061, 2, 
243, -6.20443, 53.4486198, 2, 
244, -6.40464497, 53.4082489, 2, 
246, -6.27519083, 53.4179802, 2, 
247, -6.25787401, 53.3532944, 2, 
258, -6.17776394, 53.4060669, 2, 
259, -6.27318287, 53.3587494, 2, 
262, -6.24559498, 53.3555908, 2, 
263, -6.2465539, 53.3324, 2, 
268, -6.16599894, 53.2702217, 2, 
269, -6.26335, 53.3441887, 2, 
272, 0, 0, 2, 
273, -6.2559, 53.3464661, 2, 
275, -6.42175198, 53.2851372, 2, 
277, -6.27234888, 53.3422241, 2, 
278, -6.06458378, 53.1376076, 2, 
279, -6.32805, 53.3240433, 2, 
285, -6.25448322, 53.3556, 2, 
286, -6.09083605, 53.5332451, 2, 
290, -6.42700815, 53.2906113, 2, 
291, -6.2545619, 53.3694382, 2, 
295, -6.13179779, 53.2546234, 2, 
297, -6.20133114, 53.3866844, 2, 
299, -6.21642923, 53.3911819, 2, 
304, -6.22847414, 53.4521294, 2, 
305, -6.38742781, 53.3851967, 2, 
310, -6.25766611, 53.2875175, 2, 
311, -6.26523113, 53.3348389, 2, 
315, -6.26900578, 53.3697586, 2, 
318, -6.44251, 53.3576202, 2, 
319, -6.25793505, 53.3501701, 2, 
320, -6.400033, 53.3369827, 2, 
325, -6.30890703, 53.2943192, 2, 
327, -6.17530489, 53.3807449, 2, 
330, -6.25358677, 53.3419838, 2, 
332, -6.19496822, 53.3914452, 2, 
333, -6.26235485, 53.3587456, 2, 
334, -6.28781891, 53.3789597, 2, 
337, -6.23971415, 53.3599319, 2, 
338, -6.22251701, 53.3720665, 2, 
339, -6.25268888, 53.3457909, 2, 
342, -6.26968, 53.3324165, 2, 
344, -6.2394371, 53.3324852, 2, 
346, -6.26433611, 53.3296165, 2, 
347, -6.24653387, 53.2923622, 2, 
350, -6.282866, 53.34692, 2, 
351, -6.27757502, 53.3398247, 2, 
361, -6.14256191, 53.2957535, 2, 
362, -6.31308079, 53.3665123, 2, 
363, -6.17616606, 53.3773422, 2, 
364, 0, 0, 2, 
365, -6.29261494, 53.3427124, 2, 
366, -6.19456482, 53.2897072, 2, 
369, -6.36184597, 53.3429108, 2, 
370, -6.17642212, 53.3642349, 2, 
372, -6.21660805, 53.3052521, 2, 
381, -6.2545, 53.3558846, 2, 
383, -6.058393, 53.3728371, 2, 
384, -6.19794083, 53.3890343, 2, 
385, -6.29206705, 53.3973923, 2, 
387, -6.28358793, 53.3520355, 2, 
390, -6.3061161, 53.369854, 2, 
395, -6.29043722, 53.3468361, 2, 
396, -6.27465, 53.3496513, 2, 
397, -6.13974285, 53.2938271, 2, 
398, -6.299438, 53.3381081, 2, 
402, -6.2140789, 53.3406448, 2, 
405, 0, 0, 2, 
406, -6.06604385, 53.1012115, 2, 
407, -6.3005991, 53.3115273, 2, 
409, -6.11111307, 53.3893661, 2, 
410, -6.43101311, 53.3941727, 2, 
411, -6.43339777, 53.3911858, 2, 
412, -6.28906918, 53.3197212, 2, 
415, -6.24731684, 53.3386269, 2, 
416, 0, 0, 2, 
418, -6.26201582, 53.353302, 2, 
420, -6.22995281, 53.348381, 2, 
422, -6.19966698, 53.374, 2, 
423, -6.3794589, 53.3454475, 2, 
425, -6.25805807, 53.3463821, 2, 
428, -6.30613, 53.3437691, 2, 
429, -6.16776705, 53.2894821, 2, 
431, -6.26012707, 53.3499527, 2, 
436, -6.17306185, 53.4021606, 2, 
437, -6.26772308, 53.3455849, 2, 
438, -6.26394796, 53.3990746, 2, 
440, -6.23568106, 53.3800926, 2, 
443, -6.27985477, 53.3460274, 2, 
444, -6.2433672, 53.3845367, 2, 
446, -6.41548681, 53.3398209, 2, 
448, -6.26946688, 53.3437271, 2, 
452, -6.30186081, 53.4027023, 2, 
453, -6.27947521, 53.3459587, 2, 
456, 0, 0, 2, 
461, -6.27532911, 53.3452263, 2, 
467, -6.25757694, 53.2919807, 2, 
469, -6.24080086, 53.4032631, 2, 
473, -6.26373386, 53.3441811, 2, 
474, -6.37144184, 53.3165207, 2, 
476, -6.3598, 53.2836952, 2, 
479, -6.25091124, 53.4595795, 2, 
483, -6.28249407, 53.3124352, 2, 
484, -6.25574589, 53.348175, 2, 
485, -6.25544, 53.3673248, 2, 
486, -6.46839809, 53.3362885, 2, 
489, -6.1122818, 53.2067032, 2, 
491, -6.42716122, 53.340004, 2, 
493, -6.43339777, 53.3911858, 2, 
494, -6.2560339, 53.3425217, 2, 
497, -6.2604928, 53.3472252, 2, 
498, 0, 0, 2, 
505, -6.20405579, 53.2961769, 2, 
509, -6.30367804, 53.3990059, 2, 
510, -6.37516594, 53.2875214, 2, 
515, -6.28335381, 53.3045616, 2, 
516, -6.35415077, 53.3514404, 2, 
518, -6.28649282, 53.3176498, 2, 
519, -6.27856684, 53.4167671, 2, 
521, -6.38338, 53.4198723, 2, 
524, -6.39191198, 53.3231888, 2, 
